logFC logCPM LR PValue
ANKRD65 0.0466824653317983 0.632839109995176 0.062740289044882 0.802216079007758
MRPL20 -0.111097020042865 6.05366680777638 3.25730380741692 0.0711059511282036
LOC101011345 -0.137015162121507 -0.451921805799952 1.64716352258233 0.199345430907527
CCNL2 -0.198395637412277 7.37545938421984 5.18164036632857 0.0228267637708859
AURKAIP1 -0.0931308872392576 5.18770780786301 1.45400518816689 0.227886371924106
MXRA8 0.0868253142034185 5.47737751851069 0.803039226067085 0.370186241542331
DVL1 0.0069664040525006 7.87386251799026 0.0132269493726085 0.908438404367693
TAS1R3 -0.377335896012458 2.31628334000054 7.34352693939002 0.00673046597967848
CPTP -0.133641832082225 4.484366798939 3.3354360965551 0.0678024306859981
INTS11 -0.142143940443829 5.69082277629354 5.44246093119756 0.0196529609739105
PUSL1 -0.126577577444436 2.79984275561431 2.92534298398539 0.0871986933337744
ACAP3 -0.0402675313255578 6.22424249144123 0.27147909374861 0.602341305176739
SCNN1D -0.0563375112260295 -0.0978120545421268 0.206159886952946 0.649794040814556
UBE2J2 -0.124321094428293 4.94127859023583 9.49294387441091 0.00206263601584559
C1QTNF12 -0.0902825094660675 -0.519922434112593 0.200933171256338 0.653968669115399
B3GALT6 -0.0951592612632406 2.74386442815905 2.74607061970335 0.0974937571696616
SDF4 0.0996869134912872 6.88104618889173 5.01740526906053 0.0250937449197024
TNFRSF4 0.000781515480690364 -0.745706865340408 2.82154252317923e-05 0.995761801249399
TNFRSF18 0.00683097643557517 -0.450672438189273 0.00153952735377061 0.9687015851223
TTLL10 -0.0211254452376524 1.21820787540517 0.0218600789106631 0.88245993049172
C1H1orf159 -0.11235213912135 2.72600143275469 3.66325127483981 0.0556249867378405
RNF223 -0.0990397022543648 -1.32990600708074 0.467772085216325 0.494013902921025
LOC116273781 0.11094431525868 2.25200583242232 0.913684777795879 0.339138625400639
LOC103881263 0.0736454897545819 1.57574740883003 0.267367376857692 0.605103250261694
AGRN 0.0839809622044494 6.2707215116678 0.65047138339628 0.419944198109161
ISG15 -0.017142431737696 3.62448650025724 0.00874227059819077 0.925506262191702
HES4 -0.125732810435639 3.74551529945393 1.87223768133202 0.171219014998279
PERM1 -0.632465857834493 6.7346189154208 5.16087738666658 0.0231012243217853
PLEKHN1 0.0710724955199567 -0.67342876380344 0.152520766045882 0.696137969837278
KLHL17 -0.0826935123555388 3.37168572459275 1.32857066830172 0.249059656608484
NOC2L -0.0382415175640833 6.03002977880227 0.38739421761926 0.533672301562675
SAMD11 0.204955964812463 4.43025592818486 2.06731884857095 0.150485873702157
LOC103881261 -0.0144033679131807 4.03712947244354 0.00714894407929023 0.93261801507657
LOC101023535 -0.157869633592595 2.09853233729749 3.19837253866274 0.0737115874321957
LOC108584285 -0.137041927993201 1.48681280261772 1.55695458195441 0.212111685709803
ATAD3A -0.121693709578494 4.39547092795113 5.63089719264599 0.0176465972999654
TMEM240 -0.00423854928633051 -0.965699094830952 0.00097807564213781 0.975050865037651
SSU72 -0.00458762186173494 6.66341858232194 0.0102451679211981 0.919377077221647
FNDC10 0.152772116212477 3.19164676612779 1.99491977593686 0.157827422764976
LOC103886700 0.0209615249145263 -0.48936250106507 0.0265078081074535 0.870666312777902
MIB2 -0.0889662594592041 6.33982490559476 2.31185681738816 0.128390597392128
