logFC logCPM LR PValue
ANKRD65 0.500789380327038 0.632839109995176 6.86423424462851 0.00879379236059691
MRPL20 -0.301174393412279 6.05366680777638 23.8349096997143 1.04961494374587e-06
LOC101011345 -0.0321599850719957 -0.451921805799952 0.0787614838759509 0.778982878086786
CCNL2 -0.177884529229506 7.37545938421984 4.16243309412357 0.0413299936511566
AURKAIP1 -0.19292819878946 5.18770780786301 6.22024252811281 0.01262978110517
MXRA8 0.248865959366672 5.47737751851069 6.39224595333985 0.0114619915044532
DVL1 -0.427664042825799 7.87386251799026 49.5764903431988 1.90786285030124e-12
TAS1R3 -0.161162450720803 2.31628334000054 1.30544099717065 0.253221749542802
CPTP -0.216787389100575 4.484366798939 8.75566247339282 0.00308642236768769
INTS11 -0.101031742534317 5.69082277629354 2.72329375533894 0.0988937534552495
PUSL1 -0.205480807934867 2.79984275561431 7.46617978691899 0.00628688169564407
ACAP3 -0.117743559076284 6.22424249144123 2.3057859116139 0.128893072564357
SCNN1D 0.0165335638478156 -0.0978120545421268 0.0126788827440123 0.910347252917302
UBE2J2 -0.158812518980508 4.94127859023583 14.9624765415033 0.00010967047093234
C1QTNF12 0.218161649193631 -0.519922434112593 1.13191335414945 0.287367584720119
B3GALT6 -0.185784647478151 2.74386442815905 9.97483626133101 0.001586941075134
SDF4 -0.109275049238118 6.88104618889173 6.00304726424145 0.0142811910451821
TNFRSF4 0.522161362687091 -0.745706865340408 8.3869468177046 0.00377925198852792
TNFRSF18 0.442289349891759 -0.450672438189273 5.64134681133487 0.0175417269566506
TTLL10 0.942479088476309 1.21820787540517 33.0395118402529 9.03048750910792e-09
C1H1orf159 -0.00482411261214602 2.72600143275469 0.00601778037639633 0.93816664354632
RNF223 0.24108474318935 -1.32990600708074 1.87083062516456 0.171379977298616
LOC116273781 -0.172921880809292 2.25200583242232 2.2185948433164 0.13635711421016
LOC103881263 -0.549920213017913 1.57574740883003 16.3770791300168 5.19091764669416e-05
AGRN 0.324533895884049 6.2707215116678 9.67044856921098 0.00187255587320035
ISG15 0.198027030988706 3.62448650025724 1.17215558235171 0.278958768701843
HES4 -0.0499329957568513 3.74551529945393 0.283658291330369 0.594313406781514
PERM1 -0.582224099477863 6.7346189154208 4.38256639257474 0.0363082896625552
PLEKHN1 -0.193076223675926 -0.67342876380344 0.999654621340483 0.317394093821794
KLHL17 -0.16298888885248 3.37168572459275 5.07879530822419 0.0242201929434899
NOC2L -0.260000458039163 6.03002977880227 17.7231129171583 2.55503230843131e-05
SAMD11 0.0256533977267555 4.43025592818486 0.0324149385978671 0.857119995018611
LOC103881261 -0.106446398681938 4.03712947244354 0.389888016004875 0.532358271146575
LOC101023535 -0.351497332560884 2.09853233729749 16.3095797565737 5.37913254979342e-05
LOC108584285 -0.120430708747892 1.48681280261772 1.12896935024298 0.287995285126423
ATAD3A -0.244770662075933 4.39547092795113 22.5196758134073 2.08002138893684e-06
TMEM240 0.748791707172588 -0.965699094830952 13.3089934153534 0.000264136124701219
SSU72 -0.222277183617101 6.66341858232194 23.8119800950459 1.06219294441956e-06
FNDC10 0.207337194239339 3.19164676612779 3.57082710882844 0.0588030152666198
LOC103886700 0.1983062695648 -0.48936250106507 1.64141675838505 0.200131194037016
MIB2 -0.300379225336508 6.33982490559476 26.1069764226224 3.23014804258712e-07
MMP23B 0.22255127965982 2.70307086990543 1.51006399476466 0.219129321599458
